player_id,season,week,passing_yards
00-0031345,2019,7,151.0
00-0034796,2019,7,143.0
00-0034857,2019,7,202.0
00-0029604,2019,7,338.0
00-0035289,2019,7,255.0
00-0026158,2019,7,213.0
00-0033106,2022,15,252.0
00-0035710,2019,7,223.0
00-0034869,2019,7,86.0
00-0033106,2019,7,268.0
00-0019596,2019,7,249.0
00-0026143,2019,7,159.0
00-0033869,2019,7,251.0
00-0031237,2019,7,281.0
00-0026498,2019,7,364.0
00-0025708,2019,7,117.0
00-0033119,2019,7,326.0
00-0023459,2019,7,429.0
00-0032950,2019,7,191.0
00-0027973,2019,7,276.0
00-0028986,2019,8,130.0
00-0033537,2019,8,279.0
00-0029263,2019,8,182.0
00-0035228,2019,8,220.0
00-0031345,2019,8,175.0
00-0034869,2019,8,218.0
00-0034771,2019,8,251.0
00-0023682,2019,8,190.0
00-0023459,2019,8,305.0
00-0032950,2019,8,172.0
00-0029604,2019,8,285.0
00-0034855,2019,8,194.0
00-0029701,2019,8,193.0
00-0034857,2019,8,169.0
00-0022942,2019,8,201.0
00-0032436,2022,15,8.0
00-0033119,2019,8,202.0
00-0034577,2019,8,158.0
00-0025708,2019,8,267.0
00-0022787,2019,8,460.0
00-0033106,2019,8,372.0
00-0035289,2019,8,279.0
00-0033077,2019,9,257.0
00-0022942,2019,9,294.0
00-0034857,2019,9,160.0
00-0034577,2019,9,232.0
00-0034855,2019,9,273.0
00-0029701,2019,9,331.0
00-0019596,2019,9,285.0
00-0034869,2019,9,260.0
00-0032950,2019,9,239.0
00-0033869,2019,9,125.0
00-0034771,2019,9,191.0
00-0025708,2019,9,275.0
00-0035228,2019,9,241.0
00-0035710,2019,9,210.0
00-0026625,2019,9,168.0
00-0023682,2019,9,288.0
00-0035232,2019,9,144.0
00-0029604,2019,9,220.0
00-0031503,2019,9,335.0
00-0034796,2019,9,163.0
00-0034796,2019,10,223.0
00-0035652,2019,10,167.0
00-0029604,2019,10,220.0
00-0034869,2019,10,230.0
00-0034771,2019,10,242.0
00-0033077,2019,10,397.0
00-0031345,2019,10,248.0
00-0031503,2019,10,358.0
00-0034855,2019,10,238.0
00-0034577,2019,10,307.0
00-0020531,2019,10,287.0
00-0035228,2019,10,324.0
00-0033869,2019,10,173.0
00-0023459,2019,10,233.0
00-0026143,2019,10,182.0
00-0029701,2019,10,181.0
00-0033106,2019,10,243.0
00-0029263,2019,10,232.0
00-0034796,2019,11,222.0
00-0031503,2019,11,313.0
00-0032434,2019,11,240.0
00-0023682,2019,11,323.0
00-0033869,2019,11,190.0
00-0033119,2019,11,148.0
00-0029604,2019,11,319.0
00-0026143,2019,11,311.0
00-0033106,2019,11,173.0
00-0034857,2019,11,256.0
00-0034771,2019,11,221.0
00-0031345,2019,11,424.0
00-0019596,2019,11,216.0
