player_id,season,week,position,fantasy_ppr
00-0026618,2019,10,DE,0.0
00-0034162,2025,16,P,0.0
00-0036252,2022,5,WR,10.9
00-0036215,2022,5,C,0.0
00-0036493,2022,5,RB,13.1
00-0027103,2019,10,P,0.0
00-0034159,2025,16,TE,5.800000000000001
00-0034160,2025,16,P,0.0
00-0033955,2025,16,RB,5.2
00-0034302,2025,16,LB,0.0
00-0034163,2025,16,DE,0.0
00-0034264,2025,16,DT,0.0
00-0034272,2025,16,WR,1.6
00-0026280,2019,10,CB,0.0
00-0027002,2019,10,OLB,0.0
00-0026625,2019,10,QB,6.16
00-0026516,2019,10,P,0.0
00-0033217,2022,5,TE,1.7000000000000002
00-0028899,2022,5,FS,0.0
00-0035687,2022,5,ILB,0.0
00-0033393,2022,5,CB,0.0
00-0034413,2025,16,LB,0.0
00-0027662,2019,10,DE,0.0
00-0034473,2025,16,LB,0.0
00-0034437,2025,16,P,0.0
00-0034371,2025,16,DE,0.0
00-0034350,2025,16,LB,0.0
00-0034383,2025,16,TE,14.5
00-0034361,2025,16,S,0.0
00-0034333,2025,16,NT,0.0
00-0034465,2025,16,DB,0.0
00-0034351,2025,16,TE,12.2
00-0034377,2025,16,FS,0.0
00-0034384,2025,16,CB,0.0
00-0027609,2019,10,OT,0.0
00-0027547,2019,10,DB,0.0
00-0027663,2019,10,OLB,0.0
00-0027701,2019,10,DE,0.0
00-0029542,2022,5,CB,0.0
00-0033123,2022,5,DE,0.0
00-0034827,2025,16,WR,21.9
00-0036480,2022,5,DE,0.0
00-0036222,2022,5,CB,0.0
00-0035277,2025,16,CB,0.0
00-0027720,2019,10,DT,0.0
00-0034810,2025,16,DT,0.0
00-0035192,2025,16,K,0.0
00-0034987,2025,16,LB,0.0
00-0034678,2025,16,G,0.0
00-0035240,2025,16,LB,0.0
00-0034981,2025,16,TE,1.5
00-0034860,2025,16,WR,0.0
00-0034951,2025,16,OT,0.0
00-0034844,2025,16,RB,21.200000000000003
00-0034993,2025,16,SAF,0.0
00-0035156,2025,16,P,0.0
00-0027870,2019,10,C,0.0
00-0027860,2019,10,CB,0.0
00-0027862,2019,10,DE,0.0
00-0027723,2019,10,DT,0.0
00-0036479,2022,5,DE,0.0
00-0035857,2022,5,DL,0.0
00-0033400,2022,5,P,0.0
00-0035681,2025,16,SAF,0.0
00-0027881,2019,10,DE,0.0
00-0035678,2025,16,DE,0.0
00-0035588,2025,16,C,0.0
00-0035402,2025,16,DE,0.0
00-0035656,2025,16,DT,0.0
00-0035659,2025,16,WR,8.3
00-0035719,2025,16,WR,6.5
00-0035655,2025,16,SAF,0.0
00-0035699,2025,16,CB,0.0
00-0035667,2025,16,DT,0.0
00-0035358,2025,16,K,0.0
00-0027956,2019,10,DT,0.0
00-0027875,2019,10,OT,0.0
00-0027952,2019,10,DE,0.0
00-0027874,2019,10,WR,14.4
00-0027891,2019,10,WR,25.5
00-0033119,2022,5,QB,14.400000000000002
00-0033057,2022,5,OT,0.0
00-0031544,2022,5,WR,20.6
00-0036233,2022,5,WR,9.0
00-0036232,2022,5,TE,0.0
00-0036282,2022,5,SAF,0.0
00-0036276,2022,5,LB,0.0
00-0027966,2019,10,RB,9.4
00-0027985,2019,10,TE,0.0
00-0036262,2025,16,DT,0.0
00-0036286,2025,16,LB,0.0
00-0036193,2025,16,LB,0.0
00-0036040,2025,16,TE,16.9
00-0035944,2025,16,DE,0.0
00-0036260,2025,16,DT,0.0
00-0036287,2025,16,CB,0.0
00-0035821,2025,16,P,0.0
00-0036139,2025,16,RB,8.3
00-0027969,2019,10,DT,0.0
00-0028008,2019,10,OLB,0.0
00-0027975,2019,10,DE,0.0
00-0036322,2025,16,WR,14.5
00-0033868,2022,5,DE,0.0
00-0031364,2022,5,OLB,0.0
00-0036349,2025,16,SAF,0.0
00-0036266,2022,5,DT,0.0
00-0033588,2022,5,DE,0.0
00-0037251,2022,5,DE,0.0
00-0028664,2019,10,P,0.0
